CDS                                                       ,dN/dS,dN,dS,Species Pair
mini.cds.fasta_GLEAN_10000200-croc.cds.fasta_GLEAN_10000200,0.6159,0.0026,0.0043,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000206-croc.cds.fasta_GLEAN_10000206,0.0968,0.0005,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000223-croc.cds.fasta_GLEAN_10000223,0.2537,0.002,0.008,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000225-croc.cds.fasta_GLEAN_10000225,0.1075,0.0007,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000226-croc.cds.fasta_GLEAN_10000226,0.3554,0.003,0.0084,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000227-croc.cds.fasta_GLEAN_10000227,0.24,0.001,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000228-croc.cds.fasta_GLEAN_10000228,0.7739,0.0042,0.0055,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000233-croc.cds.fasta_GLEAN_10000233,0.2926,0.0028,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000243-croc.cds.fasta_GLEAN_10000243,0.5883,0.001,0.0016,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000248-croc.cds.fasta_GLEAN_10000248,0.3406,0.0013,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000249-croc.cds.fasta_GLEAN_10000249,0.3355,0.0023,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000259-croc.cds.fasta_GLEAN_10000259,0.3215,0.0007,0.0021,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000262-croc.cds.fasta_GLEAN_10000262,0.6332,0.0025,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000267-croc.cds.fasta_GLEAN_10000267,0.629,0.0012,0.0019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000276-croc.cds.fasta_GLEAN_10000276,0.3233,0.0013,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000279-croc.cds.fasta_GLEAN_10000279,0.3143,0.0047,0.0151,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000280-croc.cds.fasta_GLEAN_10000280,2.9096,0.0323,0.0111,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000292-croc.cds.fasta_GLEAN_10000292,0.8576,0.0055,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000293-croc.cds.fasta_GLEAN_10000293,0.9608,0.0148,0.0154,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000294-croc.cds.fasta_GLEAN_10000294,0.3632,0.0046,0.0128,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000297-croc.cds.fasta_GLEAN_10000297,0.0985,0.001,0.0097,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000302-croc.cds.fasta_GLEAN_10000302,0.5302,0.0101,0.019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000306-croc.cds.fasta_GLEAN_10000306,0.3269,0.0009,0.0027,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000308-croc.cds.fasta_GLEAN_10000308,0.0976,0.001,0.0105,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000314-croc.cds.fasta_GLEAN_10000314,1.2233,0.0158,0.013,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000315-croc.cds.fasta_GLEAN_10000315,0.5941,0.0078,0.0132,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000316-croc.cds.fasta_GLEAN_10000316,1.2502,0.0125,0.01,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000322-croc.cds.fasta_GLEAN_10000322,0.0809,0.0022,0.0268,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000325-croc.cds.fasta_GLEAN_10000325,0.3117,0.0012,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000331-croc.cds.fasta_GLEAN_10000331,0.1573,0.0009,0.0054,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000335-croc.cds.fasta_GLEAN_10000335,0.865,0.004,0.0047,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000336-croc.cds.fasta_GLEAN_10000336,0.1676,0.0013,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000340-croc.cds.fasta_GLEAN_10000340,0.1236,0.0013,0.0108,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000353-croc.cds.fasta_GLEAN_10000353,0.0743,0.0006,0.0075,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000359-croc.cds.fasta_GLEAN_10000359,0.1571,0.0006,0.0039,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000364-croc.cds.fasta_GLEAN_10000364,0.2984,0.0034,0.0114,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000365-croc.cds.fasta_GLEAN_10000365,1.2306,0.0046,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000367-croc.cds.fasta_GLEAN_10000367,0.1147,0.0007,0.0064,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000372-croc.cds.fasta_GLEAN_10000372,0.0971,0.0009,0.0089,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000379-croc.cds.fasta_GLEAN_10000379,0.0888,0.0011,0.012,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000381-croc.cds.fasta_GLEAN_10000381,0.5773,0.0071,0.0123,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000382-croc.cds.fasta_GLEAN_10000382,0.8647,0.0079,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000386-croc.cds.fasta_GLEAN_10000386,0.6066,0.0018,0.003,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000388-croc.cds.fasta_GLEAN_10000388,0.7052,0.0174,0.0247,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000390-croc.cds.fasta_GLEAN_10000390,0.339,0.0008,0.0022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000393-croc.cds.fasta_GLEAN_10000393,0.0805,0.0011,0.0139,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000394-croc.cds.fasta_GLEAN_10000394,0.4297,0.0076,0.0176,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000395-croc.cds.fasta_GLEAN_10000395,0.1532,0.001,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000399-croc.cds.fasta_GLEAN_10000399,0.1057,0.0009,0.0085,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000400-croc.cds.fasta_GLEAN_10000400,0.0653,0.0004,0.0068,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000403-croc.cds.fasta_GLEAN_10000403,0.3598,0.0025,0.0071,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000404-croc.cds.fasta_GLEAN_10000404,0.6672,0.0033,0.005,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000405-croc.cds.fasta_GLEAN_10000405,0.5245,0.0045,0.0085,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000409-croc.cds.fasta_GLEAN_10000409,0.7532,0.0119,0.0158,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000410-croc.cds.fasta_GLEAN_10000410,0.8438,0.036,0.0427,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000411-croc.cds.fasta_GLEAN_10000411,1.3726,0.0397,0.0289,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000415-croc.cds.fasta_GLEAN_10000415,5.4727,0.0173,0.0032,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000416-croc.cds.fasta_GLEAN_10000416,0.6318,0.0029,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000417-croc.cds.fasta_GLEAN_10000417,3.0083,0.0072,0.0024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000418-croc.cds.fasta_GLEAN_10000418,0.3373,0.0009,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000435-croc.cds.fasta_GLEAN_10000435,0.33,0.0012,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000437-croc.cds.fasta_GLEAN_10000437,0.4456,0.0016,0.0036,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000438-croc.cds.fasta_GLEAN_10000438,0.4868,0.0022,0.0046,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000443-croc.cds.fasta_GLEAN_10000443,0.1595,0.0005,0.0033,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000448-croc.cds.fasta_GLEAN_10000448,0.9723,0.0024,0.0024,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000453-croc.cds.fasta_GLEAN_10000453,1.2301,0.0069,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000454-croc.cds.fasta_GLEAN_10000454,0.3139,0.0056,0.018,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000455-croc.cds.fasta_GLEAN_10000455,0.1101,0.0003,0.0031,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000457-croc.cds.fasta_GLEAN_10000457,0.1669,0.0009,0.0052,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000462-croc.cds.fasta_GLEAN_10000462,0.2968,0.0017,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000464-croc.cds.fasta_GLEAN_10000464,1.2899,0.0053,0.0041,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000466-croc.cds.fasta_GLEAN_10000466,1.3941,0.0078,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000471-croc.cds.fasta_GLEAN_10000471,0.3645,0.0029,0.008,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000486-croc.cds.fasta_GLEAN_10000486,4.9075,0.0494,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000487-croc.cds.fasta_GLEAN_10000487,1.5475,0.0239,0.0154,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000489-croc.cds.fasta_GLEAN_10000489,0.9298,0.0084,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000494-croc.cds.fasta_GLEAN_10000494,0.9421,0.0039,0.0041,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000495-croc.cds.fasta_GLEAN_10000495,0.3811,0.0061,0.0159,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000498-croc.cds.fasta_GLEAN_10000498,0.4205,0.0055,0.013,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000499-croc.cds.fasta_GLEAN_10000499,0.3108,0.0013,0.0043,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000504-croc.cds.fasta_GLEAN_10000504,2.0941,0.0094,0.0045,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000505-croc.cds.fasta_GLEAN_10000505,0.3195,0.0007,0.0022,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000506-croc.cds.fasta_GLEAN_10000506,0.9752,0.0014,0.0015,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000513-croc.cds.fasta_GLEAN_10000513,0.1067,0.001,0.0095,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000514-croc.cds.fasta_GLEAN_10000514,0.7061,0.0102,0.0145,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000517-croc.cds.fasta_GLEAN_10000517,1.2573,0.0011,0.0009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000520-croc.cds.fasta_GLEAN_10000520,1.44,0.0049,0.0034,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000521-croc.cds.fasta_GLEAN_10000521,1.2639,0.012,0.0095,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000523-croc.cds.fasta_GLEAN_10000523,0.2684,0.0035,0.0129,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000531-croc.cds.fasta_GLEAN_10000531,0.83,0.0073,0.0088,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000535-croc.cds.fasta_GLEAN_10000535,0.4509,0.0029,0.0065,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000537-croc.cds.fasta_GLEAN_10000537,0.348,0.0027,0.0076,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000546-croc.cds.fasta_GLEAN_10000546,0.1983,0.0016,0.0081,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000550-croc.cds.fasta_GLEAN_10000550,0.2077,0.0014,0.0066,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000551-croc.cds.fasta_GLEAN_10000551,0.1303,0.001,0.008,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000552-croc.cds.fasta_GLEAN_10000552,0.2338,0.0014,0.0061,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000555-croc.cds.fasta_GLEAN_10000555,0.334,0.0014,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000558-croc.cds.fasta_GLEAN_10000558,0.3274,0.0009,0.0029,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000559-croc.cds.fasta_GLEAN_10000559,0.2484,0.0027,0.0109,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000563-croc.cds.fasta_GLEAN_10000563,0.2712,0.0062,0.0227,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000572-croc.cds.fasta_GLEAN_10000572,0.9888,0.0051,0.0051,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000577-croc.cds.fasta_GLEAN_10000577,1.7744,0.0183,0.0103,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000591-croc.cds.fasta_GLEAN_10000591,0.684,0.0019,0.0027,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000594-croc.cds.fasta_GLEAN_10000594,1.5346,0.0065,0.0042,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000600-croc.cds.fasta_GLEAN_10000600,0.8835,0.0049,0.0055,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000603-croc.cds.fasta_GLEAN_10000603,0.1527,0.002,0.0128,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000604-croc.cds.fasta_GLEAN_10000604,0.3242,0.0009,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000615-croc.cds.fasta_GLEAN_10000615,0.4293,0.0043,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000617-croc.cds.fasta_GLEAN_10000617,0.4089,0.0025,0.0061,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000618-croc.cds.fasta_GLEAN_10000618,0.1564,0.0014,0.0092,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000623-croc.cds.fasta_GLEAN_10000623,0.9306,0.0025,0.0027,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000628-croc.cds.fasta_GLEAN_10000628,0.2238,0.0013,0.0059,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000630-croc.cds.fasta_GLEAN_10000630,0.3277,0.0009,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000636-croc.cds.fasta_GLEAN_10000636,0.3144,0.0011,0.0034,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000637-croc.cds.fasta_GLEAN_10000637,0.3193,0.0018,0.0056,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000640-croc.cds.fasta_GLEAN_10000640,1.2915,0.0206,0.0159,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000641-croc.cds.fasta_GLEAN_10000641,1.787,0.0228,0.0128,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000648-croc.cds.fasta_GLEAN_10000648,0.0329,0.0002,0.0058,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000654-croc.cds.fasta_GLEAN_10000654,0.6012,0.0074,0.0123,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000662-croc.cds.fasta_GLEAN_10000662,1.5378,0.0043,0.0028,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000664-croc.cds.fasta_GLEAN_10000664,0.7388,0.0109,0.0148,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000673-croc.cds.fasta_GLEAN_10000673,0.4358,0.0042,0.0096,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000675-croc.cds.fasta_GLEAN_10000675,0.6309,0.0057,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000676-croc.cds.fasta_GLEAN_10000676,0.1381,0.0011,0.0079,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000681-croc.cds.fasta_GLEAN_10000681,0.9194,0.021,0.0228,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000682-croc.cds.fasta_GLEAN_10000682,1.0376,0.0201,0.0194,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000688-croc.cds.fasta_GLEAN_10000688,0.1433,0.0031,0.0213,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000689-croc.cds.fasta_GLEAN_10000689,0.4069,0.0135,0.0331,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000690-croc.cds.fasta_GLEAN_10000690,0.6362,0.0008,0.0012,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000691-croc.cds.fasta_GLEAN_10000691,0.144,0.0044,0.0306,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000692-croc.cds.fasta_GLEAN_10000692,0.2155,0.0025,0.0114,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000693-croc.cds.fasta_GLEAN_10000693,0.1666,0.006,0.0362,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000694-croc.cds.fasta_GLEAN_10000694,0.7506,0.012,0.016,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000699-croc.cds.fasta_GLEAN_10000699,0.6102,0.0086,0.014,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000705-croc.cds.fasta_GLEAN_10000705,0.2393,0.0056,0.0234,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000706-croc.cds.fasta_GLEAN_10000706,0.2943,0.0019,0.0065,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000707-croc.cds.fasta_GLEAN_10000707,1.1512,0.0116,0.0101,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000708-croc.cds.fasta_GLEAN_10000708,0.322,0.0029,0.009,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000709-croc.cds.fasta_GLEAN_10000709,0.6351,0.0058,0.0091,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000716-croc.cds.fasta_GLEAN_10000716,0.1535,0.0014,0.0088,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000722-croc.cds.fasta_GLEAN_10000722,0.6761,0.0083,0.0122,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000727-croc.cds.fasta_GLEAN_10000727,0.1063,0.0008,0.0074,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000729-croc.cds.fasta_GLEAN_10000729,0.335,0.0011,0.0033,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000735-croc.cds.fasta_GLEAN_10000735,0.0514,0.0009,0.0177,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000742-croc.cds.fasta_GLEAN_10000742,0.35,0.0017,0.0048,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000746-croc.cds.fasta_GLEAN_10000746,0.2074,0.0008,0.0038,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000752-croc.cds.fasta_GLEAN_10000752,0.1921,0.003,0.0159,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000754-croc.cds.fasta_GLEAN_10000754,0.3366,0.0006,0.0019,S. crocotulus-S. miniatus
mini.cds.fasta_GLEAN_10000766-croc.cds.fasta_GLEAN_10000766,0.1094,0.0004,0.004,S. crocotulus-S. miniatus
